word,gloss,pos,example,source
ā,"ā av. , ō N. , W. always, ever; at all. ne … a never; not at all, not. ā on ecnesse , ā būton ende for ever and ever || of space , continuously: ā oþ wa. all the way to … [ āwa ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēmende,~brēmende ever-celebrating.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ālibbende,~libbende everlasting.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āwunigende,~wunigende continual.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
a-prefix,"a- , ā- occ. = æ̂- , on- .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
aæþan,aæþan = āīeþan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ab,ab = ōwębb woof.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abacan,abacan ( a·bacan ) 2 bake.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abǣdan,"abǣdan ( a·bǣdan ) force out, extract (oil by pressure); force away, ward off (death); obtain by force, exact.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābæligan,ābæligan = ābięlgan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābǣran,"ābǣran ( ā·bǣran ) disclose, reveal.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abære,abære = æ̂bæ̂re .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abærnan,abærnan tr. burn = on- .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abal,abal = afol .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abannan,"abannan ( a·bannan ) I summon, command — ~ ūt call out (the militia); proclaim.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abarian,"abarian ( a·barian ), ābor- , disclose, make public [ bær ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abbod,abbod m. abbot [ Lt. abbatem ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abboddom,"~dom m. , ~had m. , ~rīce n. dignity or rule of an abbot, abbacy.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abbodisse,~isse f. abbess.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābēatan,"ābēatan ( ā·bēatan ) I beat to pieces; beat; beat down, make to fall.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābēcēdē,ābēcēdē ( n. ) alphabet.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābedecian,"ābedecian ( ā·bedecian )*, ābeþ- get by begging or asking.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābelgan,"ābelgan ( ā·belgan ) 3 w. d. or a. anger, irritate, offend, injure — ābolgen wesan or weorþan || wd. be angry or offended (with).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābēodan,"ābēodan ( ā·bēodan ) 7 wda. announce, state | offer w. sbj. | command; summon — ūt~ call out (militia). | appoint (festival) | — hǣelo ~ wd. wish good luck, greet, take leave of.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābēowan,ābēowan ( ā·bēowan ) = ābīewan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āberan,"āberan ( ā·ber|an ) 4 carry with effort; endure, suffer; rfl. restrain oneself, (not) know what to do; take upon oneself, put up with | take away, remove | ūp~ raise, lift up | reveal, make known.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āberendlic,~endlic endurable.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābęred,"ābęred ( ā·bęred ), once -rd , cunning.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āberstan,"āberstan ( ā·berstan ) 3 intr. force one’s way out; burst out, appear, often w. ūt ; escape w. fram .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abeþecian,abeþecian = abed- .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābīdan,"ābīdan ( ā·bīd|an ) 6 remain; remain alive, be spared; remain behind | wait, wait patiently; wg. wait for, await, expect; experience.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābidung,~ung f. waiting.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiddan,"ābiddan ( ā·biddan ) 5 wa., w. sbj. and æt (him) request, pray for | obtain (by prayer or request).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiegan,ābiegan ( ā·bieg|an ) bend tr. ; subdue; convert.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiegendlic,~endlic flexible.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābięlgan,"ābięlgan ( ā·bięlgan )*, y , abæligan make angry, offend [ belgan ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiernan,ābiernan ( ā·biernan ) 3 burn intr .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiewan,"ābiewan ( ā·biewan )*, ȳ , ēo rub, polish; purify; adorn.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābifian,"ābifian ( ā·bifian ), eo tremble.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābītan,"ābītan ( ā·bītan ) 6 bite (to death) ; devour, eat ; wg. taste, partake of.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābiterian,ābiterian ( ā·biterian ) become bitter.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblācian,"āblācian ( ā·blācian ), ~od bēon become pale or pallid.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblǣcan,"āblǣcan ( ā·blǣc|an ) make pale, whiten.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblǣcnes,"~nes f. paleness, gloom = æ̂- .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
